model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
XGB_FULL_SMOTENC,0.463,0.6962975223192452,0.8595668087193511,0.6756756756756757,0.6435006435006435,0.6142506142506142,0.7694605236978118,0.7054777358138171,0.8587678587678587,0.6422764227642277,0.6108247422680413,0.5823095823095823,0.7497235293845463,1984
XGB_FULL_SMOTENC_TUNED,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
XGB_FULL_SMOTENC,0.373,0.6982587963425562,0.8590531980362488,0.6162528216704289,0.6423529411764706,0.6707616707616708,0.7820223921918837,0.7054090021090597,0.8582758413266889,0.565677966101695,0.6075085324232082,0.6560196560196561,0.7636658229878569,1962
